dForagingSD,dForagingMean,gtime,pertime_foraging,pertask_foraging,num_choices,nest_id
0.5,1,80.0159,0.473684,54.5455,22,827
0.5,1,80.0159,0.230769,28.5714,21,864
0.5,1,80.0159,0.407407,47.8261,23,68
0.5,1,100.016,0.391304,46.1538,26,159
0.5,1,120.016,0.39823,46.875,32,394
0.5,1,150.025,0.333333,40,40,942
0.5,1,240.052,0.364486,43.3333,60,1091
0.5,1,260.052,0.428571,50,74,101
0.5,1,310.054,0.46988,54.1667,24,1953
0.5,1,320.054,0.636364,70,20,2089
0.5,1,350.06,0.487179,55.8824,34,447
0.5,1,360.06,0.272727,33.3333,6,2437
0.5,1,540.068,0.176471,22.2222,9,3167
0.5,1,540.068,0.455497,52.7273,55,2510
0.5,1,560.068,0.398844,46.9388,98,1873
0.5,1,560.068,0.529412,60,25,3053
0.5,1,590.07,0.473684,54.5455,44,2894
0.5,1,620.07,0.420561,49.1803,61,2748
0.5,1,650.076,0.6,66.6667,15,3567
0.5,1,660.076,0.407407,47.8261,23,3480
0.5,1,720.088,0.308108,37.2549,51,3296
0.5,1,760.103,0.401575,47.2222,144,2082
0.5,1,770.109,0.420147,49.1379,116,2543
0.5,1,800.127,0.385768,45.5752,226,598
0.5,1,900.127,0.6,66.6667,42,4289
0.5,1,1020.13,0.396226,46.6667,15,5100
0.5,1,1040.13,0,0,1,5375
0.5,1,1060.13,0.549296,61.9048,21,5185
0.5,1,1100.14,0.254237,31.25,32,5148
0.5,1,1160.14,0.28,34.1463,41,5270
0.5,1,1200.14,0.38326,45.3125,128,4228
0.5,1,1250.14,0.272727,33.3333,63,5304
0.5,1,1270.14,0.388235,45.8333,24,5577
0.5,1,1410.14,0.529412,60,5,6885
0.5,1,1440.14,0.413043,48.4076,157,4783
0.5,1,1570.14,0.355263,42.3529,85,6328
0.5,1,1610.14,0.428571,50,70,6748
0.5,1,1620.14,0.36,42.8571,7,7652
0.5,1,1620.14,0.310345,37.5,8,7662
0.5,1,1640.14,0.540984,61.1111,18,7618
0.5,1,1680.14,0.44,51.1628,43,7445
0.5,1,1710.14,0.6,66.6667,9,8016
0.5,1,1730.14,0.402985,47.3684,19,7929
0.5,1,1740.14,0.6,66.6667,33,7823
0.5,1,1770.14,0.435484,50.7042,71,7383
0.5,1,1870.14,0.493671,56.5217,23,8465
0.5,1,1880.14,0.558621,62.7907,43,8223
0.5,1,2020.14,0.404255,47.5,40,8819
0.5,1,2060.14,0.441509,51.3158,76,8503
0.5,1,2080.14,0.5,57.1429,189,7018
0.5,1,2200.14,0.439739,51.1364,88,8895
0.5,1,2280.14,0.428571,50,140,8472
0.5,1,2340.14,0.428571,50,60,9903
0.5,1,2370.14,0.333333,40,10,10717
0.5,1,2410.14,0.463918,53.5714,56,10263
0.5,1,2520.14,0.331104,39.759,83,10273
0.5,1,2530.14,0.496689,56.8182,88,10299
0.5,1,2590.14,0.473684,54.5455,44,11157
0.5,1,2600.14,0.515152,58.6207,29,11396
0.5,1,2620.14,0.483871,55.5556,27,11492
0.5,1,2720.14,0.428571,50,10,12174
0.5,1,2810.14,0.415385,48.6486,185,10013
0.5,1,2810.14,0.36,42.8571,56,11844
0.5,1,2950.14,0.462687,53.4483,116,11607
0.5,1,3000.14,0.483871,55.5556,18,13125
0.5,1,3040.14,0.4875,55.914,93,12312
0.5,1,3050.14,0.48866,56.0284,141,11675
0.5,1,3070.14,0.3,36.3636,55,12887
0.5,1,3080.14,0.310345,37.5,8,13632
0.5,1,3150.14,0.666667,72.7273,11,13866
0.5,1,3150.14,0.428571,50,24,13675
0.5,1,3230.14,0.5,57.1429,7,14253
0.5,1,3280.14,0.480663,55.2381,105,12710
0.5,1,3380.14,0.344262,41.1765,34,14468
0.5,1,3410.14,0.371237,44.0476,84,13874
0.5,1,3580.14,0.365854,43.4783,23,15460
0.5,1,3620.14,0.459459,53.125,96,14592
0.5,1,3620.14,0.376426,44.5946,74,14901
0.5,1,3810.14,0.272727,33.3333,30,16278
0.5,1,3850.14,0.422053,49.3333,75,15792
0.5,1,3870.14,0.418605,48.9796,98,15578
0.5,1,3970.14,0.493671,56.5217,46,16745
0.5,1,4110.15,0.386139,45.614,57,17110
0.5,1,4130.15,0.522936,59.375,32,17605
0.5,1,4330.16,0.6,66.6667,3,18850
0.5,1,4430.16,0.515493,58.6538,104,17846
0.5,1,4440.16,0.451128,52.2876,153,17102
0.5,1,4470.16,0.518325,58.9286,56,18692
0.5,1,4500.16,0.367164,43.617,94,18208
0.5,1,4500.16,0.539062,60.9272,151,16768
0.5,1,4570.16,0.405941,47.6744,86,18617
0.5,1,4570.16,0.444444,51.6129,62,18992
0.5,1,4580.16,0.230769,28.5714,7,19884
0.5,1,4630.16,0.39,46.0177,113,18469
0.5,1,4670.16,0.4375,50.9091,55,19509
0.5,1,4690.16,0.524476,59.5238,84,19198
0.5,1,4830.16,0.333333,40,10,20847
0.5,1,4840.16,0.333333,40,5,21006
0.5,1,4850.16,0.50152,57.2917,96,19718
0.5,1,4900.16,0.402985,47.3684,38,20751
0.5,1,5000.16,0.344262,41.1765,51,20980
0.5,1,5010.16,0.306502,37.0787,89,20416
0.5,1,5010.16,0.364486,43.3333,30,21370
0.5,1,5040.16,0.463339,53.5135,185,19194
0.5,1,5050.16,0.428571,50,6,21913
0.5,1,5070.16,0.415385,48.6486,37,21508
0.5,1,5080.16,0.478861,55.0595,336,17188
0.5,1,5090.16,0.5,57.1429,84,20897
0.5,1,5100.16,0.230769,28.5714,14,21562
0.5,1,5110.16,0.183673,23.0769,13,22044
0.5,1,5130.16,0.568513,63.7255,102,19319
0.5,1,5180.16,0.384615,45.4545,22,22213
0.5,1,5200.16,0.512195,58.3333,12,22387
0.5,1,5230.16,0.466667,53.8462,13,22510
0.5,1,5250.16,0.402985,47.3684,76,21709
0.5,1,5330.16,0.371901,44.1176,68,22150
0.5,1,5380.16,0.354839,42.3077,26,22973
0.5,1,5410.16,0.789474,83.3333,6,23401
0.5,1,5420.16,0.578947,64.7059,51,22774
0.5,1,5470.16,0.461538,53.3333,60,21430
0.5,1,5560.16,0.437186,50.8772,57,21224
0.5,1,5580.16,0.559322,62.8571,70,23197
0.5,1,5580.16,0.622642,68.75,16,23941
0.5,1,5620.16,0.287671,35,20,24019
0.5,1,5710.16,0.341772,40.9091,22,24371
0.5,1,5720.16,0.5,57.1429,7,24607
0.5,1,5730.16,0.448276,52,25,24398
0.5,1,5800.16,0.388781,45.8904,146,22926
0.5,1,5800.16,0.433577,50.5102,196,22238
0.5,1,5990.22,0.319149,38.4615,13,25634
0.5,1,6040.22,0.487179,55.8824,34,25537
0.5,1,6040.22,0.555556,62.5,40,25466
0.5,1,6050.22,0.423913,49.5238,105,24557
0.5,1,6050.22,0.418605,48.9796,98,24646
0.5,1,6140.22,0.393103,46.3415,41,25876
0.5,1,6140.22,0.3,36.3636,11,26343
0.5,1,6200.22,0.52381,59.4595,37,26229
0.5,1,6230.22,0.333333,40,20,26605
0.5,1,6240.22,0.764706,81.25,16,26697
0.5,1,6250.22,0.324324,39.0244,41,26326
0.5,1,6300.22,0.487685,55.9322,59,26322
0.5,1,6350.22,0.572519,64.1026,39,26829
0.5,1,6370.22,0.492537,56.4103,39,26912
0.5,1,6490.22,0.505618,57.6923,26,27667
0.5,1,6500.22,0.428571,50,20,27806
0.5,1,6530.22,0.037037,4.87805,41,27505
0.5,1,6560.22,0.36,42.8571,7,28249
0.5,1,6570.22,0.455108,52.6882,93,26978
0.5,1,6590.22,0.471698,54.3478,46,27782
0.5,1,6650.22,0.46988,54.1667,48,28028
0.5,1,6650.22,0.524476,59.5238,42,28137
0.5,1,6690.22,0.6,66.6667,21,28633
0.5,1,6720.22,0.55102,62.069,29,28647
0.5,1,6800.22,0.543307,61.3333,75,26754
0.5,1,6950.22,0.483871,55.5556,27,29603
0.5,1,6970.22,0.428571,50,236,26530
0.5,1,7010.22,0.356643,42.5,120,28455
0.5,1,7050.22,0.352941,42.1053,19,28961
0.5,1,7060.22,0.391304,46.1538,13,30263
0.5,1,7170.22,0.418994,49.0196,51,30153
0.5,1,7190.22,0.33913,40.625,32,30506
0.5,1,7200.22,0.517241,58.8235,17,30779
0.5,1,7230.22,0.515152,58.6207,29,30739
0.5,1,7260.22,0.323077,38.8889,18,30987
0.5,1,7270.22,0.485477,55.7143,70,30314
0.5,1,7300.22,0.540984,61.1111,18,31177
0.5,1,7330.22,0.384615,45.4545,88,30270
0.5,1,7440.22,0.478261,55,20,31744
0.5,1,7470.22,0.476323,54.8077,104,30673
0.5,1,7510.22,0.428571,50,2,32301
0.5,1,7560.22,0.407895,47.8764,259,28737
0.5,1,7560.22,0.459459,53.125,96,31139
0.5,1,7600.22,0.6,66.6667,3,32622
0.5,1,7610.22,0.458824,53.0612,49,31996
0.5,1,7630.22,0.448276,52,125,30997
0.5,1,7690.22,0.50365,57.5,40,32469
0.5,1,7720.22,0.549296,61.9048,63,32296
0.5,1,7750.22,0.709091,76.4706,51,32606
0.5,1,7770.22,0.48169,55.3398,103,31891
0.5,1,7770.22,0.460674,53.2468,77,32292
0.5,1,7890.22,0.428571,50,28,33573
0.5,1,7950.22,0.661017,72.2222,18,33974
0.5,1,8000.22,0.627907,69.2308,13,34247
0.5,1,8280.22,0.310345,37.5,24,34471
0.5,1,8380.22,0.410526,48.1481,27,35659
0.5,1,8400.22,0,0,1,36117
0.5,1,8480.22,0.527559,59.8214,112,34896
0.5,1,8490.22,0.642857,70.5882,17,36298
0.5,1,8510.22,0,0,3,36560
0.5,1,8510.22,0.457627,52.9412,34,36119
0.5,1,8580.22,0.428571,50,24,36567
0.5,1,8640.22,0.509434,58.0645,31,36393
0.5,1,8650.22,0.428571,50,44,36544
0.5,1,8740.22,0.492683,56.4246,179,35009
0.5,1,8880.22,0.18232,22.9167,48,37413
0.5,1,8880.22,0.555556,62.5,16,37950
0.5,1,8890.22,0.530201,60.076,263,34430
0.5,1,8910.22,0.428571,50,2,38273
0.5,1,8930.22,0.346154,41.3793,29,37954
0.5,1,8990.22,0.542857,61.2903,31,38217
0.5,1,9040.22,0.506494,57.7778,90,37524
0.5,1,9070.22,0.586207,65.3846,104,36941
0.5,1,9120.22,0.551402,62.1053,95,37841
0.5,1,9140.22,0.493671,56.5217,69,38277
0.5,1,9140.22,0.428571,50,48,38552
0.5,1,9200.22,0.333333,40,10,39356
0.5,1,9230.22,0.36,42.8571,14,39449
0.5,1,9240.22,0.55,61.9718,213,35911
0.5,1,9350.22,0.434783,50.6329,79,38957
0.5,1,9370.22,0.410526,48.1481,27,39873
0.5,1,9400.22,0.567568,63.6364,22,40062
0.5,1,9480.22,0.402985,47.3684,19,40452
0.5,1,9490.22,0.472868,54.4643,112,39106
0.5,1,9520.22,0.446809,51.8519,81,39386
0.5,1,9530.22,0.503106,57.4468,47,40244
0.5,1,9540.22,0.471074,54.2857,105,39393
0.5,1,9560.22,0.494118,56.5657,99,39614
0.5,1,9600.22,0.5053,57.6613,248,37634
0.5,1,9640.22,0.36,42.8571,119,39581
0.5,1,9720.22,0.515493,58.6538,104,40227
0.5,1,9770.22,0.75,80,5,41897
0.5,1,9830.22,0.428571,50,2,42170
0.5,1,9850.22,0.55814,62.7451,51,41597
0.5,1,9910.22,0.497976,56.9444,72,41510
0.5,1,9970.22,0.460581,53.2374,139,40759
0.5,1,9980.22,0.428571,50,78,41715
